IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Sector
2022-06-22,GSUN,Golden Sun Education Group Limited,4,1.48,-63,27166140,Consumer Staples
2022-06-16,FLFV,Feutune Light Acquisition Corporation,10,10.26,2.6,131098176,Financials
2022-06-15,LYT,Lytus Technologies Holdings PTV. LTD.,4.75,1.28,-73.05263,48097792,Technology
2022-06-15,HSCS,"Heart Test Laboratories, Inc.",4.25,0.8701,-79.52706,7265213,Healthcare
2022-06-10,ACAC,Acri Capital Acquisition Corporation,10,10.39,3.9,111477608,Financials
2022-06-08,PEV,Phoenix Motor Inc.,7.5,1.45,-80.66667,29696000,Consumer Discretionary
2022-06-03,SVRE,SaverOne 2014 Ltd.,5.8,1.43,-75.34483,7945337,Technology
2022-06-01,TOP,Zhong Yang Financial Group Limited,5,4.9,-2,171745000,Financials
2022-05-24,BNRG,Brenmiller Energy Ltd.,5.18,1.87,-63.89961,28468880,Utilities
2022-05-17,BGXX,Bright Green Corporation,8,0.505,-93.6875,85517710,Healthcare
2022-05-17,OKYO,OKYO Pharma Limited,4,2.2149,-44.6275,48218152,Healthcare
2022-05-17,VEDU,Visionary Education Technology Holdings Group Inc.,4,0.72,-82,28260000,Consumer Staples
2022-05-13,ACDC,ProFrac Holding Corp.,18,22.15,23.05556,1195189635,Energy
2022-05-13,PNAC,Prime Number Acquisition I Corp.,10,10.2,2,86306178,Financials
2022-05-13,ASNS,"Actelis Networks, Inc.",4,0.65,-83.75,11256440,Technology
2022-05-13,=PFHC,ProFrac Holding Corp.,18,,,,
2022-05-11,HNVR,"Hanover Bancorp, Inc.",21,19.9,-5.2381,142265100,Financials
2022-05-11,MCAC,Monterey Capital Acquisition Corporation,10,10.14,1.4,118009320,Financials
2022-05-10,IVCA,Investcorp Acquisition Corp.,10,10.404,4.04,336504906,Financials
2022-05-10,GBBK,Global Blockchain Acquisition Corp.,10,10.16,1.6,223647000,Financials
2022-05-06,BLCO,Bausch + Lomb Corporation,18,17.2,-4.44444,6020017062,Healthcare
2022-05-06,PEPG,PepGen Inc.,12,16.12,34.33333,380946228,Healthcare
2022-05-06,RENE,Cartesian Growth Corporation II,10,10.33,3.3,296987490,Financials
2022-05-05,EDBL,Edible Garden AG Incorporated,5,7.99,59.8,81907887,Consumer Staples
